"X","Y","Species","DBH_cm","ba_m2","grp_id","grp_size","grp_nm","tree_id","weight"
139.3,174.2,"PIPU",5.842,0.00268048256442576,"b0155",4,"2-4 trees",3830,16.8460654712927
82,174.5,"PSME",17.272,0.0234301538334683,"d0018",12,"10-15 trees",3833,95.4439065680274
84.9,174.6,"PSME",2.286,0.000410433058068973,"d0018",12,"10-15 trees",3835,3.75423938681759
98.1,174.7,"PIPO",44.704,0.156957708725241,"c0030",5,"5-9 trees",3838,437.073237645285
156,174.7,"PIEN",31.496,0.0779113419860312,"c0064",9,"5-9 trees",3840,249.57934628759
59.1,174.9,"POTR",14.224,0.0158903465444975,"d0016",14,"10-15 trees",3841,69.9575819362394
45.1,175.3,"PIPU",25.146,0.0496624000263458,"c0077",6,"5-9 trees",3843,174.080553123716
44.9,175.5,"PIEN",8.128,0.00518868458595838,"c0077",6,"5-9 trees",3846,28.5741889289076
82.3,175.6,"PSME",38.608,0.117069695970686,"d0018",12,"10-15 trees",3850,345.687509145987
153.6,175.6,"POTR",13.208,0.0137013702347963,"c0064",9,"5-9 trees",3851,62.1354283185709
84.1,175.7,"PSME",15.748,0.0194778354965078,"d0018",12,"10-15 trees",3853,82.3304804480007
98.4,175.7,"POTR",8.128,0.00518868458595838,"c0030",5,"5-9 trees",3854,28.5741889289076
63.6,176.3,"PIPO",19.558,0.0300426864356906,"d0016",14,"10-15 trees",3863,116.444533906343
153.4,176.3,"PIEN",10.668,0.00893831993127986,"c0064",9,"5-9 trees",3865,44.15021382169
83.4,176.4,"PIEN",22.352,0.0392394271813102,"d0018",12,"10-15 trees",3868,144.180398665019
139.1,176.8,"PIEN",7.112,0.00397258663612438,"b0155",4,"2-4 trees",3877,23.0773956958527
140.2,177,"POTR",10.414,0.00851775272362894,"b0155",4,"2-4 trees",3881,42.4803530379405
85.4,177.4,"PIFL2",5.842,0.00268048256442576,"d0018",12,"10-15 trees",3889,16.8460654712927
189.9,177.4,"POTR",16.256,0.0207547383438335,"c0038",6,"5-9 trees",3892,86.6207430682866
88.1,177.6,"PSME",28.194,0.0624314284996027,"d0018",12,"10-15 trees",3895,209.050260299898
96.9,177.7,"PSME",15.24,0.0182414692475099,"c0030",5,"5-9 trees",3896,78.1224666314692
96.7,177.9,"PIEN",17.018,0.0227460987366867,"c0030",5,"5-9 trees",3899,93.2080947894287
157.3,178,"PIEN",18.034,0.0255431240213049,"c0064",9,"5-9 trees",3903,102.269775958013
83.3,178.2,"PSME",54.356,0.23205175712749,"d0018",12,"10-15 trees",3906,597.579903692088
77.9,178.5,"PIEN",24.13,0.0457303499885492,"d0018",12,"10-15 trees",3912,162.964014650622
171.6,178.8,"POTR",13.716,0.014775590090483,"b0141",2,"2-4 trees",3918,66.0030435502607
71.4,179.1,"PIPO",45.72,0.164173223227589,"b0112",4,"2-4 trees",3923,453.074849393211
156.2,179.1,"PSME",44.45,0.155179165473609,"c0064",9,"5-9 trees",3925,433.106622546041
159.6,179.3,"PSME",14.224,0.0158903465444975,"c0064",9,"5-9 trees",3929,69.9575819362394
174.2,179.7,"PIPU",20.828,0.0340710108945157,"b0141",2,"2-4 trees",3940,128.776349701634
187.5,179.7,"PIPO",40.64,0.129717114648959,"c0038",6,"5-9 trees",3941,375.254508550311
188.5,179.9,"PIEN",17.526,0.0241243430798319,"c0038",6,"5-9 trees",3944,97.6995338905438
151.7,180,"PIPU",18.288,0.0262677157164143,"c0064",9,"5-9 trees",3945,104.584166814162
112.1,180.1,"PIEN",2.032,0.000324292786622399,"c0065",5,"5-9 trees",3946,3.1094095334738
70.1,180.3,"PIEN",6.35,0.00316692174435936,"b0112",4,"2-4 trees",3949,19.2503203210012
110.1,180.4,"PSME",11.43,0.0102608264517243,"c0065",5,"5-9 trees",3951,49.3030706693208
97.8,180.6,"PIPO",2.032,0.000324292786622399,"c0030",5,"5-9 trees",3953,3.1094095334738
116,180.8,"PIEN",15.494,0.0188545852972179,"c0065",5,"5-9 trees",3955,80.2161257237514
188.9,180.9,"PIEN",4.826,0.00182921399954197,"c0038",6,"5-9 trees",3957,12.4090835343443
188.2,181,"PSME",42.164,0.139628312940106,"c0038",6,"5-9 trees",3958,398.021825702242
159.6,181.2,"PIEN",34.036,0.0909843949467467,"c0064",9,"5-9 trees",3964,282.554106810417
85.7,181.3,"POTR",8.636,0.00585753845836707,"d0018",12,"10-15 trees",3965,31.4847474378953
186,181.8,"PIPO",13.97,0.0153279012426993,"c0038",6,"5-9 trees",3970,67.9695273295393
82.6,182,"POTR",5.842,0.00268048256442576,"d0018",12,"10-15 trees",3972,16.8460654712927
70.7,182.2,"PSME",40.894,0.131343645656862,"b0112",4,"2-4 trees",3975,379.014083807285
